scope,file_name,path,container,extension,size_bytes,size_mb,modified_utc,compressed_size_bytes,likely_role
folder_file,israel-and-palestine-260521-free.shp.zip,israel-and-palestine-260521-free.shp.zip,,.zip,222386068,212.08,2026-05-22T14:42:02+00:00,,compressed_archive
folder_file,israel-and-palestine-260521.osm.pbf,israel-and-palestine-260521.osm.pbf,,.osm.pbf,121620250,115.99,2026-05-22T14:41:51+00:00,,raw_osm_pbf_full_osm_tags
archive_member,README,israel-and-palestine-260521-free.shp.zip::README,israel-and-palestine-260521-free.shp.zip,,665,0.00,2026-05-22T03:55:38+00:00,380,archive_readme_metadata
archive_member,gis_osm_adminareas_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip::gis_osm_adminareas_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip,.cpg,6,0.00,2026-05-22T03:55:24+00:00,6,shapefile_encoding
archive_member,gis_osm_adminareas_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip::gis_osm_adminareas_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip,.dbf,69617,0.07,2026-05-22T03:55:38+00:00,7017,shapefile_attributes
archive_member,gis_osm_adminareas_a_free_1.prj,israel-and-palestine-260521-free.shp.zip::gis_osm_adminareas_a_free_1.prj,israel-and-palestine-260521-free.shp.zip,.prj,144,0.00,2026-05-22T03:55:24+00:00,122,shapefile_crs
archive_member,gis_osm_adminareas_a_free_1.shp,israel-and-palestine-260521-free.shp.zip::gis_osm_adminareas_a_free_1.shp,israel-and-palestine-260521-free.shp.zip,.shp,5792672,5.52,2026-05-22T03:55:38+00:00,4103414,shapefile_geometry
archive_member,gis_osm_adminareas_a_free_1.shx,israel-and-palestine-260521-free.shp.zip::gis_osm_adminareas_a_free_1.shx,israel-and-palestine-260521-free.shp.zip,.shx,3932,0.00,2026-05-22T03:55:38+00:00,2779,shapefile_index
archive_member,gis_osm_buildings_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip::gis_osm_buildings_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip,.cpg,6,0.00,2026-05-22T03:55:24+00:00,6,shapefile_encoding
archive_member,gis_osm_buildings_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip::gis_osm_buildings_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip,.dbf,182294174,173.85,2026-05-22T03:55:38+00:00,4584651,shapefile_attributes
archive_member,gis_osm_buildings_a_free_1.prj,israel-and-palestine-260521-free.shp.zip::gis_osm_buildings_a_free_1.prj,israel-and-palestine-260521-free.shp.zip,.prj,144,0.00,2026-05-22T03:55:24+00:00,122,shapefile_crs
archive_member,gis_osm_buildings_a_free_1.shp,israel-and-palestine-260521-free.shp.zip::gis_osm_buildings_a_free_1.shp,israel-and-palestine-260521-free.shp.zip,.shp,174209696,166.14,2026-05-22T03:55:38+00:00,85879960,shapefile_geometry
archive_member,gis_osm_buildings_a_free_1.shx,israel-and-palestine-260521-free.shp.zip::gis_osm_buildings_a_free_1.shx,israel-and-palestine-260521-free.shp.zip,.shx,8838596,8.43,2026-05-22T03:55:38+00:00,3337670,shapefile_index
archive_member,gis_osm_landuse_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip::gis_osm_landuse_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip,.cpg,6,0.00,2026-05-22T03:55:24+00:00,6,shapefile_encoding
archive_member,gis_osm_landuse_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip::gis_osm_landuse_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip,.dbf,10012702,9.55,2026-05-22T03:55:38+00:00,433560,shapefile_attributes
archive_member,gis_osm_landuse_a_free_1.prj,israel-and-palestine-260521-free.shp.zip::gis_osm_landuse_a_free_1.prj,israel-and-palestine-260521-free.shp.zip,.prj,144,0.00,2026-05-22T03:55:24+00:00,122,shapefile_crs
archive_member,gis_osm_landuse_a_free_1.shp,israel-and-palestine-260521-free.shp.zip::gis_osm_landuse_a_free_1.shp,israel-and-palestine-260521-free.shp.zip,.shp,40541332,38.66,2026-05-22T03:55:38+00:00,27271936,shapefile_geometry
archive_member,gis_osm_landuse_a_free_1.shx,israel-and-palestine-260521-free.shp.zip::gis_osm_landuse_a_free_1.shx,israel-and-palestine-260521-free.shp.zip,.shx,552516,0.53,2026-05-22T03:55:38+00:00,288402,shapefile_index
archive_member,gis_osm_natural_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_a_free_1.cpg,israel-and-palestine-260521-free.shp.zip,.cpg,6,0.00,2026-05-22T03:55:24+00:00,6,shapefile_encoding
archive_member,gis_osm_natural_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_a_free_1.dbf,israel-and-palestine-260521-free.shp.zip,.dbf,48012,0.05,2026-05-22T03:55:38+00:00,3760,shapefile_attributes
archive_member,gis_osm_natural_a_free_1.prj,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_a_free_1.prj,israel-and-palestine-260521-free.shp.zip,.prj,144,0.00,2026-05-22T03:55:24+00:00,122,shapefile_crs
archive_member,gis_osm_natural_a_free_1.shp,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_a_free_1.shp,israel-and-palestine-260521-free.shp.zip,.shp,152628,0.15,2026-05-22T03:55:38+00:00,101130,shapefile_geometry
archive_member,gis_osm_natural_a_free_1.shx,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_a_free_1.shx,israel-and-palestine-260521-free.shp.zip,.shx,2740,0.00,2026-05-22T03:55:38+00:00,1457,shapefile_index
archive_member,gis_osm_natural_free_1.cpg,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_free_1.cpg,israel-and-palestine-260521-free.shp.zip,.cpg,6,0.00,2026-05-22T03:55:24+00:00,6,shapefile_encoding
archive_member,gis_osm_natural_free_1.dbf,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_free_1.dbf,israel-and-palestine-260521-free.shp.zip,.dbf,2575652,2.46,2026-05-22T03:55:38+00:00,98030,shapefile_attributes
archive_member,gis_osm_natural_free_1.prj,israel-and-palestine-260521-free.shp.zip::gis_osm_natural_free_1.prj,israel-and-palestine-260521-free.shp.zip,.prj,144,0.00,2026-05-22T03:55:24+00:00,122,shapefile_crs
