source_dataset_id,source_file_name,source_layer,osm_id,code,fclass,population,name,name_search,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,pbf_enriched_workspace_id,route_aware_workspace_id,source_gis_modified
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,24515974,1010,suburb,0,קיסריה,קיסריה  24515974,34.9039940,32.5035946,34.9094864,32.5098187,safe_access_pilot_24515974_pbf_enriched_v001,safe_access_pilot_24515974_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,24559195,1010,suburb,0,שכונת החורש,שכונת החורש  24559195,34.8989157,32.5079364,34.9043362,32.5120336,safe_access_pilot_24559195_pbf_enriched_v001,safe_access_pilot_24559195_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,24564789,1010,suburb,0,שכונת צמרות,שכונת צמרות  24564789,34.9007026,32.5113663,34.9054583,32.5150572,safe_access_pilot_24564789_pbf_enriched_v001,safe_access_pilot_24564789_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,25650651,1002,town,0,קרית גת,קרית גת  25650651,34.7501826,31.5759158,34.7951921,31.6385167,safe_access_pilot_25650651_pbf_enriched_v001,safe_access_pilot_25650651_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,25662403,1002,town,53958,עפולה,עפולה  25662403,35.2753548,32.5970759,35.3024076,32.6227474,safe_access_pilot_25662403_pbf_enriched_v001,safe_access_pilot_25662403_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,25690306,1003,village,0,שובל,שובל  25690306,34.7361875,31.4080513,34.7486676,31.4189912,safe_access_pilot_25690306_pbf_enriched_v001,safe_access_pilot_25690306_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,26757008,1003,village,5500,בית אריה,בית אריה  26757008,35.0435725,32.0290945,35.0622357,32.0456830,safe_access_pilot_26757008_pbf_enriched_v001,safe_access_pilot_26757008_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,28826017,1002,town,47033,אלעד,אלעד  28826017,34.9439827,32.0449793,34.9686179,32.0580406,safe_access_pilot_28826017_pbf_enriched_v001,safe_access_pilot_28826017_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,30043468,1003,village,0,נירים,נירים  30043468,34.3900308,31.3300776,34.4020626,31.3396200,safe_access_pilot_30043468_pbf_enriched_v001,safe_access_pilot_30043468_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,30043472,1003,village,0,עין השלושה,עין השלושה  30043472,34.3978845,31.3468421,34.4076981,31.3551597,safe_access_pilot_30043472_pbf_enriched_v001,safe_access_pilot_30043472_route_aware_v001,False
