public_space_id,osm_id,place_type,name,source_layer,nearest_crossing_id,nearest_crossing_m,crossing_within_100m,crossing_within_150m,route_nearest_crossing_id,route_nearest_crossing_m,route_vs_straight_ratio,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,traffic_calming_within_100m,base_risk_score,public_space_review_priority_score,public_space_access_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0301,641703934,park,,gis_osm_landuse_a_free_1,cross_0187,226.7,False,False,cross_0187,472.5,2.08,secondary,146.4,True,0,0,75,105,"[""high_network_detour_ratio"", ""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190239.167537 677347.529001),34.894608547103836,32.189260350812795
gen_0244,161743303,park,,gis_osm_landuse_a_free_1,cross_0188,503.6,False,False,cross_0202,717.4,1.26,tertiary,77.8,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189942.317328 677039.795019),34.891470143002245,32.186477550803055
gen_0344,3770194008,playground,,gis_osm_pois_free_1,cross_0191,452.4,False,False,cross_0191,632.4,1.40,tertiary,84.0,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190452.023527 677883.191718),34.896849499511525,32.19409630063026
gen_0354,641699298,playground,,gis_osm_pois_a_free_1,cross_0187,366.9,False,False,cross_0202,543.1,1.11,tertiary,114.7,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190112.620021 677155.988126),34.893272470509544,32.187529799869544
gen_0353,641699293,playground,,gis_osm_pois_a_free_1,cross_0187,347.2,False,False,cross_0202,520.0,1.06,tertiary,145.2,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190134.327843 677177.494661),34.89350200394337,32.18772430526364
gen_0307,643162736,park,,gis_osm_landuse_a_free_1,cross_0191,374.9,False,False,cross_0191,519.8,1.39,tertiary,118.8,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189884.162699 678007.258178),34.89082355903398,32.19520030425203
gen_0302,641703935,park,,gis_osm_landuse_a_free_1,cross_0187,370.7,False,False,cross_0202,502.7,1.07,tertiary,128.9,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190135.768346 677153.991918),34.893517999615284,32.187512402254235
gen_0320,883116424,park,,gis_osm_landuse_a_free_1,cross_0187,391.2,False,False,cross_0202,500.0,1.10,tertiary,117.1,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190140.180536 677133.907303),34.89356540254418,32.187331400314065
gen_0321,883116425,park,,gis_osm_landuse_a_free_1,cross_0187,374.2,False,False,cross_0202,495.7,1.09,tertiary,144.7,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190159.251812 677153.854493),34.89376702558215,32.18751177482967
gen_0274,232412573,park,,gis_osm_landuse_a_free_1,cross_0217,265.9,False,False,cross_0216,348.9,1.31,tertiary,64.7,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190913.540679 677533.460487),34.90175428056195,32.190954338854716
