generator_id,osm_id,generator_type,name,base_risk_score,route_review_priority_score,straight_nearest_crossing_id,straight_nearest_crossing_m,route_nearest_crossing_id,route_nearest_crossing_m,straight_distance_to_route_crossing_m,route_vs_straight_ratio,route_gap_m,reachable_crossings,generator_network_attach_m,generator_network_road_id,generator_network_road_class,crossing_network_attach_m,crossing_network_road_id,crossing_network_road_class,network_status,network_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0388,641701620,school,רחל המשוררת,75,110,cross_0188,170.8,cross_0187,430.6,190.7,2.26,259.8,334,47.8,road_01404,cycleway,0.0,road_01312,secondary_link,ok,"[""generator_far_from_network_proxy"", ""high_network_detour_ratio"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""generator_far_from_mapped_network_proxy"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189940.980488 677409.89099),34.891444548117455,32.189814927241486
gen_0301,641703934,park,,75,105,cross_0187,226.7,cross_0187,472.5,226.7,2.08,245.8,334,21.6,road_00318,cycleway,0.0,road_01312,secondary_link,ok,"[""high_network_detour_ratio"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190239.167537 677347.529001),34.894608547103836,32.189260350812795
gen_0372,232411199,school,חטיבת שרת,75,100,cross_0153,339.7,cross_0152,477.0,349.3,1.37,137.3,334,39.2,road_00047,residential,0.0,road_00056,residential,ok,"[""generator_far_from_network_proxy"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""generator_far_from_mapped_network_proxy"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190415.178508 675494.174012),34.89653127132622,32.17255189694017
gen_0366,1227803114,school,"חטיבת הביניים ע""ש יורם טהרלב",75,100,cross_0188,254.5,cross_0187,409.2,272.5,1.50,154.7,334,36.0,road_01404,cycleway,0.0,road_01312,secondary_link,ok,"[""generator_far_from_network_proxy"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""generator_far_from_mapped_network_proxy"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189890.625729 677342.183841),34.89091265909721,32.18920304276046
gen_0373,232411203,school,"חטיבת שז""ר",75,100,cross_0153,270.6,cross_0152,334.0,280.9,1.19,63.4,334,37.9,road_00417,footway,0.0,road_00056,residential,ok,"[""generator_far_from_network_proxy"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""generator_far_from_mapped_network_proxy"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190433.304416 675561.240569),34.89672141624478,32.173157151779776
gen_0379,394617593,school,,75,100,cross_0178,221.0,cross_0180,273.4,228.8,1.20,52.4,334,42.7,road_00069,residential,0.0,road_00064,tertiary,ok,"[""generator_far_from_network_proxy"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""generator_far_from_mapped_network_proxy"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192268.845564 676207.846423),34.91616434401088,32.179033902052254
gen_0190,1202291191,kindergarten,,75,95,cross_0191,668.6,cross_0191,1028.6,668.6,1.54,360.0,334,27.0,road_01493,footway,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189933.866541 678330.10627),34.89134070144589,32.19811295089024
gen_0168,5210719529,bus_stop,דמרי סנטר/ספיר,75,95,cross_0191,720.3,cross_0191,984.6,720.3,1.37,264.3,334,1.1,road_02256,footway,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189797.122622 678345.703214),34.88988999951207,32.19825000062939
gen_0158,5210713962,bus_stop,דמרי סנטר/שלמה וחיה אנגל,75,95,cross_0191,660.0,cross_0191,861.8,660.0,1.31,201.8,334,9.9,road_01442,residential,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189835.352651 678295.467691),34.890296999511996,32.197798000629454
gen_0215,4945772122,kindergarten,"גן אפיק, יובל, מעיין, נחל",75,95,cross_0191,660.4,cross_0191,812.0,660.4,1.23,151.6,334,27.7,road_01442,residential,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189946.879857 678324.041311),34.89147889951198,32.19805860062952
gen_0390,643157150,school,בית ספר לאה גולדברג,75,95,cross_0191,583.4,cross_0191,797.6,583.4,1.37,214.2,334,27.6,road_01451,service,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189826.063093 678209.877645),34.89020113309496,32.19702593242934
gen_0216,4945776022,kindergarten,גן מעיין,75,95,cross_0191,656.1,cross_0191,790.1,656.1,1.20,134.0,334,19.6,road_01442,residential,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189932.433025 678317.119265),34.89132589951198,32.1979958006295
gen_0244,161743303,park,,75,95,cross_0188,503.6,cross_0202,717.4,570.7,1.26,213.8,334,19.1,road_00579,cycleway,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189942.317328 677039.795019),34.891470143002245,32.186477550803055
gen_0154,5210713958,bus_stop,משה וילנסקי/ג׳ו עמר,75,95,cross_0187,475.3,cross_0202,641.1,494.3,1.30,165.8,334,6.7,road_01395,footway,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190032.208941 677051.338445),34.892422999511126,32.186584000630766
gen_0344,3770194008,playground,,75,95,cross_0191,452.4,cross_0191,632.4,452.4,1.40,180.0,334,12.9,road_01354,cycleway,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190452.023527 677883.191718),34.896849499511525,32.19409630063026
gen_0217,563223683,kindergarten,,75,95,cross_0191,422.1,cross_0191,550.0,422.1,1.30,127.9,334,28.5,road_01353,footway,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189799.678286 678010.437643),34.88992750160611,32.195226750906926
gen_0354,641699298,playground,,75,95,cross_0187,366.9,cross_0202,543.1,489.9,1.11,176.2,334,9.9,road_01383,cycleway,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190112.620021 677155.988126),34.893272470509544,32.187529799869544
gen_0353,641699293,playground,,75,95,cross_0187,347.2,cross_0202,520.0,489.9,1.06,172.8,334,10.2,road_01385,footway,0.0,road_00880,residential,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190134.327843 677177.494661),34.89350200394337,32.18772430526364
gen_0307,643162736,park,,75,95,cross_0191,374.9,cross_0191,519.8,374.9,1.39,144.9,334,1.0,road_01454,footway,0.0,road_01129,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189884.162699 678007.258178),34.89082355903398,32.19520030425203
gen_0155,5210713959,bus_stop,נעמי שמר/יאיר רוזנבלום,75,95,cross_0188,370.6,cross_0187,507.9,379.1,1.34,137.3,334,0.7,road_00586,tertiary,0.0,road_01312,secondary_link,ok,"[""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189911.057644 677190.861409),34.891133999511254,32.18783900063056
