generator_id,osm_id,generator_type,name,source_layer,nearest_crossing_id,nearest_crossing_m,crossing_within_100m,crossing_within_150m,nearest_major_road_id,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,nearest_crossing_signals_within_50m,nearest_crossing_major_road_m,traffic_calming_within_100m,sidewalk_no_roads_within_50m,lit_no_roads_within_50m,risk_score,risk_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0168,5210719529,bus_stop,דמרי סנטר/ספיר,gis_osm_transport_free_1,cross_0191,720.3,False,False,road_01426,tertiary,24.2,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189797.122622 678345.703214),34.88988999951207,32.19825000062939
gen_0190,1202291191,kindergarten,,gis_osm_pois_a_free_1,cross_0191,668.6,False,False,road_01426,tertiary,135.5,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189933.866541 678330.10627),34.89134070144589,32.19811295089024
gen_0215,4945772122,kindergarten,"גן אפיק, יובל, מעיין, נחל",gis_osm_pois_free_1,cross_0191,660.4,False,False,road_01426,tertiary,147.8,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189946.879857 678324.041311),34.89147889951198,32.19805860062952
gen_0158,5210713962,bus_stop,דמרי סנטר/שלמה וחיה אנגל,gis_osm_transport_free_1,cross_0191,660.0,False,False,road_01426,tertiary,37.0,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189835.352651 678295.467691),34.890296999511996,32.197798000629454
gen_0216,4945776022,kindergarten,גן מעיין,gis_osm_pois_free_1,cross_0191,656.1,False,False,road_01426,tertiary,132.8,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189932.433025 678317.119265),34.89132589951198,32.1979958006295
gen_0390,643157150,school,בית ספר לאה גולדברג,gis_osm_pois_a_free_1,cross_0191,583.4,False,False,road_01124,tertiary,45.5,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189826.063093 678209.877645),34.89020113309496,32.19702593242934
gen_0244,161743303,park,,gis_osm_landuse_a_free_1,cross_0188,503.6,False,False,road_01386,tertiary,77.8,True,0,0,7.8,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189942.317328 677039.795019),34.891470143002245,32.186477550803055
gen_0154,5210713958,bus_stop,משה וילנסקי/ג׳ו עמר,gis_osm_transport_free_1,cross_0187,475.3,False,False,road_01386,tertiary,8.5,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190032.208941 677051.338445),34.892422999511126,32.186584000630766
gen_0344,3770194008,playground,,gis_osm_pois_free_1,cross_0191,452.4,False,False,road_00363,tertiary,84.0,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190452.023527 677883.191718),34.896849499511525,32.19409630063026
gen_0217,563223683,kindergarten,,gis_osm_pois_a_free_1,cross_0191,422.1,False,False,road_01124,tertiary,34.3,True,0,0,9.6,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189799.678286 678010.437643),34.88992750160611,32.195226750906926
