road_id,osm_id,highway_class,name,maxspeed,maxspeed_effective,oneway,oneway_effective,sidewalk,lit,geometry_wkt,lon,lat
road_00001,25305566,residential,הרצל,0,,B,B,,,"LINESTRING (191654.038516 675221.158758, 191657.685588 675233.790528, 191662.646804 675250.998567, 191685.691078 675330.955614, 191694.45155 675361.327321, 191711.220284 675419.533374)",34.910006499509386,32.171112100633465
road_00002,25305567,tertiary,דב הוז,0,,F,F,,,"LINESTRING (190486.413284 676407.106992, 190495.35156 676399.696008, 190500.752243 676395.244878, 190506.818568 676392.710299, 190532.313648 676383.877053)",34.89747569951052,32.180657000631705
road_00003,31095127,service,,0,,B,B,,,"LINESTRING (189744.070341 676354.860542, 189742.003407 676360.700827)",34.88936710187123,32.18034841200349
road_00004,31095129,service,,0,,B,B,,,"LINESTRING (189810.231721 676391.283895, 189787.63601 676410.96691, 189761.625475 676391.669987, 189748.981195 676397.072209)",34.88984939951079,32.180802900631235
road_00005,32901956,primary_link,,0,,F,F,,,"LINESTRING (189957.151414 675844.208956, 189952.174894 675842.105368, 189946.40681 675840.236959, 189940.169086 675839.035276, 189934.357905 675838.564249, 189929.651265 675838.455959, 189921.070146 675838.991036, 189918.039028 675839.475802)",34.891484399510375,32.17564940063186
road_00006,32901957,primary_link,,0,,F,F,,,"LINESTRING (189949.776397 675798.576839, 189949.662796 675802.035979, 189950.004149 675805.905148, 189950.769176 675809.518032, 189952.709408 675815.090304, 189954.523613 675819.487479, 189957.303305 675825.07949)",34.891618099510346,32.1754338006319
road_00007,32902530,tertiary,"ד""ר משה סנה",0,,F,F,,,"LINESTRING (190425.924373 677086.543783, 190427.642098 677093.624933, 190428.666309 677095.629167, 190432.10504 677101.053087, 190546.514326 677223.662424, 190556.928787 677234.821858, 190568.095583 677245.258355, 190577.83982 677252.882231, 190589.384624 677260.301384, 190607.030434 677270.930185, 190623.239964 677280.553972, 190631.952182 677286.750312, 190639.666628 677293.592674, 190643.886584 677298.559785, 190650.036694 677305.783634, 190655.689851 677317.333727)",34.89787149951105,32.18815130063094
road_00008,33848555,residential,זמיר,0,,F,F,,,"LINESTRING (193382.907003 676858.756805, 193385.006742 676846.475588, 193384.412559 676776.725613, 193384.360589 676771.181112, 193386.407324 676745.604001, 193390.343836 676714.100367, 193393.817614 676689.683966, 193394.61361 676680.156242)",34.92797699950974,32.184140300633175
road_00009,33848698,tertiary,הכרמל,0,,B,B,,,"LINESTRING (191071.882848 676216.413312, 191078.319496 676214.68756, 191136.503812 676199.066554, 191149.499664 676195.581528, 191164.167208 676196.327963, 191178.345408 676200.846138, 191199.84051 676204.767315, 191219.180279 676206.88698, 191238.288416 676203.71774, 191243.904471 676201.950018, 191316.527434 676182.641544, 191379.016204 676164.803233, 191439.451498 676147.802675, 191482.595992 676136.35041, 191597.949979 676105.715001)",34.90606749951009,32.178783200632424
road_00010,33848711,tertiary,ברל כצנלסון,0,,F,F,,,"LINESTRING (191036.775176 676130.458737, 191035.082175 676125.373497, 191029.527741 676105.3729, 191018.932273 676063.49619, 190997.289886 675963.465009, 190996.687908 675960.683288, 190995.327421 675953.113125, 190998.793116 675937.855646)",34.90291559951011,32.17770130063233
road_00011,33848774,tertiary,,0,,B,B,,,"LINESTRING (191889.933448 676026.461053, 191889.860404 676030.819335, 191888.362522 676034.915345, 191885.608328 676038.293966, 191881.889227 676040.59955, 191877.619501 676041.575919, 191872.69459 676040.923948, 191868.359083 676038.518271, 191865.217482 676034.689924, 191863.714533 676029.98107, 191863.928913 676025.578046, 191865.605981 676021.481545, 191868.539578 676018.180056, 191872.409975 676016.018216, 191876.784058 676015.263347, 191881.407573 676016.0603, 191885.450597 676018.42242, 191888.42186 676022.04054, 191889.933448 676026.461053)",34.91201279950977,32.17728770063293
road_00012,33848865,residential,נחשון,0,,B,B,,,"LINESTRING (191068.558777 675806.906581, 191088.999329 675801.027558, 191136.188851 675785.404053)",34.90366629950991,32.175336200632636
road_00013,33848912,residential,דוד אלעזר,0,,B,B,,,"LINESTRING (191184.35275 675963.76277, 191200.367082 676021.293704, 191206.169722 676045.862481)",34.90484059951004,32.17732530063249
road_00014,33849161,tertiary,הצברים,0,,F,F,,,"LINESTRING (192189.155913 675059.168143, 192096.30586 675080.398826, 192071.676086 675086.531058, 192065.446483 675088.410859, 192059.218768 675090.989283, 192052.540799 675094.489333, 192042.992151 675100.259348, 192033.828702 675105.462779, 192022.7345 675111.713826, 192009.059427 675119.269306, 191997.786346 675125.631757, 191985.400894 675132.219016, 191973.023239 675138.19636, 191963.669086 675142.613035, 191953.145817 675147.199224, 191946.882631 675150.587329, 191944.624106 675152.500802, 191942.029755 675155.790253, 191939.485301 675160.088693, 191937.030427 675166.116814)",34.913902699509116,32.16898870063391
road_00015,33849168,pedestrian,הצברים,0,,B,B,,,"LINESTRING (191390.190858 675195.669796, 191388.385817 675194.399521, 191386.281065 675193.895235, 191358.345504 675194.726589)",34.906836099509405,32.16986870063339
road_00016,33849183,tertiary,,0,,B,B,,,"LINESTRING (191580.456925 675189.501101, 191554.317514 675123.181506)",34.90861969950931,32.16923520063357
road_00017,33849186,tertiary,"""גשר התותים""",30,30,B,B,,,"LINESTRING (191554.317514 675123.181506, 191551.833111 675117.035168)",34.90861969950931,32.16923520063357
road_00018,33849235,residential,ביאליק,0,,F,F,,,"LINESTRING (191568.37435 675457.262387, 191557.205771 675422.483873, 191548.221349 675393.122017, 191523.536594 675306.904346, 191523.831927 675290.835189, 191494.743388 675191.444581)",34.90828799950944,32.17089120063336
road_00019,33921210,residential,עמרמי,0,,F,F,,,"LINESTRING (191517.766106 675677.667695, 191551.231039 675674.770047, 191573.142418 675668.510927, 191643.805582 675648.312006, 191646.576315 675647.517076)",34.90880339950966,32.174153300633044
road_00020,33922117,service,,0,,B,B,,,"LINESTRING (191708.120542 675631.21375, 191716.04556 675663.151356)",34.91023559950959,32.17382030063319
road_00021,33922136,residential,הבנים,0,,F,F,,,"LINESTRING (191646.576315 675647.517076, 191708.120542 675631.21375, 191765.791196 675615.886133)",34.91023559950959,32.17382030063319
road_00022,34077018,residential,טירת צבי,0,,B,B,,yes,"LINESTRING (192265.422195 676410.079407, 192319.697238 676420.624172)",34.9166974995099,32.18095390063283
road_00023,34077120,residential,זמנהוף,0,,B,B,,,"LINESTRING (192695.454108 676066.532882, 192648.396952 676079.088146, 192561.757404 676102.482862, 192476.030888 676125.055288)",34.919273099509596,32.1780908006333
road_00024,34077135,residential,האקליפטוס,0,,B,B,,,"LINESTRING (192527.043749 676306.085164, 192415.062788 676335.636454)",34.91771109950979,32.180189800632974
road_00025,34079656,residential,אוסטשינסקי,0,,F,F,,,"LINESTRING (191189.700159 675560.708177, 191166.990654 675476.881108, 191144.090103 675392.322738, 191142.469956 675386.327962, 191122.761665 675313.570814)",34.90450279950968,32.17241510063299
road_00026,34079763,residential,אימבר,0,,F,F,,,"LINESTRING (190896.411609 675551.13854, 191040.540868 675511.577793, 191166.990654 675476.881108)",34.90316109950975,32.17272480063286
