transit_stop_id,osm_id,name,nearest_crossing_id,nearest_crossing_m,crossing_within_150m,route_nearest_crossing_id,route_nearest_crossing_m,route_vs_straight_ratio,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,traffic_calming_within_100m,base_risk_score,transit_review_priority_score,transit_access_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0168,5210719529,דמרי סנטר/ספיר,cross_0191,720.3,False,cross_0191,984.6,1.37,tertiary,24.2,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189797.122622 678345.703214),34.88988999951207,32.19825000062939
gen_0158,5210713962,דמרי סנטר/שלמה וחיה אנגל,cross_0191,660.0,False,cross_0191,861.8,1.31,tertiary,37.0,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189835.352651 678295.467691),34.890296999511996,32.197798000629454
gen_0154,5210713958,משה וילנסקי/ג׳ו עמר,cross_0187,475.3,False,cross_0202,641.1,1.30,tertiary,8.5,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190032.208941 677051.338445),34.892422999511126,32.186584000630766
gen_0155,5210713959,נעמי שמר/יאיר רוזנבלום,cross_0188,370.6,False,cross_0187,507.9,1.34,tertiary,0.7,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189911.057644 677190.861409),34.891133999511254,32.18783900063056
gen_0001,12172533321,ספיר/סקיבין,cross_0189,370.8,False,cross_0191,459.3,1.24,tertiary,3.9,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189751.754038 677890.175522),34.88942299951178,32.19414100062981
gen_0107,1803042067,יבנה/חברון,cross_0182,356.7,False,cross_0182,366.6,1.03,tertiary,82.5,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192177.84532 676399.169743),34.91519399950993,32.18075700063276
gen_0036,1803000282,בן יהודה/חטיבת הנח״ל,cross_0031,319.4,False,cross_0031,338.2,1.06,tertiary,6.8,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193966.046092 676698.47669),34.93414699950949,32.183498000633634
gen_0172,5210721935,רופין/הגבורות,cross_0158,310.9,False,cross_0158,328.7,1.06,tertiary,6.7,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192277.97063 675260.366278),34.916287999509144,32.17049000063391
gen_0170,5210720858,משה דיין/זמנהוף,cross_0176,238.4,False,cross_0179,319.6,1.27,tertiary,6.3,True,0,0,75,95,"[""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192692.933694 675994.148817),34.92066699950947,32.177117000633466
gen_0156,5210713960,בי״ס רחל המשוררת/נעמי שמר,cross_0188,208.5,False,cross_0188,316.2,1.52,tertiary,1.0,True,0,0,75,95,"[""high_network_detour_ratio"", ""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189865.179259 677465.566559),34.89063899951146,32.190315000630264
