dataset,layer,format,geometry_type,crs,feature_count,shx_record_count,bbox_lonlat,columns,encoding,components,main_use_for_project,notes
israel-and-palestine-260521-free.shp.zip,gis_osm_adminareas_a_free_1,ESRI Shapefile inside ZIP,Polygon,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),479,479,"34.2158979,29.4533796,35.9155317,33.3356317",osm_id:C(12); code:N(4); fclass:C(28); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,administrative polygons if present,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_buildings_a_free_1,ESRI Shapefile inside ZIP,Polygon,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),1104812,1104812,"34.2137355,29.4898125,35.8806796,33.3501238",osm_id:C(12); code:N(4); fclass:C(28); name:C(100); type:C(20),UTF-8,.cpg; .dbf; .prj; .shp; .shx,background/context layer,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_landuse_a_free_1,ESRI Shapefile inside ZIP,Polygon,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),69052,69052,"34.1647350,29.4897116,35.9159054,33.4524804",osm_id:C(12); code:N(4); fclass:C(28); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,"parks, recreation grounds, residential/industrial context",Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_natural_a_free_1,ESRI Shapefile inside ZIP,Polygon,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),330,330,"34.2208552,29.4891490,35.7866631,33.2397288",osm_id:C(12); code:N(4); fclass:C(28); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,background/context layer,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_natural_free_1,ESRI Shapefile inside ZIP,Point,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),17762,17762,"34.2716360,29.5130482,35.9003050,33.3412503",osm_id:C(12); code:N(4); fclass:C(28); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,background/context layer,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,ESRI Shapefile inside ZIP,Polygon,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),1682,1682,"34.2158979,29.5360846,35.8411367,33.2904182",osm_id:C(12); code:N(4); fclass:C(28); population:N(10); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,settlement labels/areas; pilot-area discovery,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_places_free_1,ESRI Shapefile inside ZIP,Point,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),3002,3002,"34.2366137,29.4897220,35.9113034,33.3444753",osm_id:C(12); code:N(4); fclass:C(28); population:N(10); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,settlement labels/areas; pilot-area discovery,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_pofw_a_free_1,ESRI Shapefile inside ZIP,Polygon,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),3298,3298,"34.2326499,29.5522857,35.8408639,33.3491576",osm_id:C(12); code:N(4); fclass:C(28); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,background/context layer,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_pofw_free_1,ESRI Shapefile inside ZIP,Point,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),1969,1969,"34.2332842,29.5481019,35.8071388,33.2774574",osm_id:C(12); code:N(4); fclass:C(28); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,background/context layer,Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
israel-and-palestine-260521-free.shp.zip,gis_osm_pois_a_free_1,ESRI Shapefile inside ZIP,Polygon,EPSG:4326 / WGS 84 lon-lat (inferred from PRJ),47363,47363,"34.2244748,29.4892112,35.8676593,33.3231473",osm_id:C(12); code:N(4); fclass:C(28); name:C(100),UTF-8,.cpg; .dbf; .prj; .shp; .shx,"schools, kindergartens, childcare if present, playgrounds, community centres",Geofabrik free shapefile schema; tags are simplified into fclass/code/name fields.
